Customer_ID,Age,Income_Level,Location,Purchase_Intent,Price_Sensitivity,Charging_Access,Distance_to_Supercharger,Import_Duty_Impact,Local_Manufacturing_Support,Brand_Loyalty,Environmental_Concern,Tech_Savviness,Competitor_Price,Government_Incentive_Awareness
1,39,48.34,Hyderabad,0.334,0.472,None,55.73,0.522,1,Competitor,0.521,High,53.08,Medium
2,33,13.35,Mumbai,0.315,0.25,Home,100.6,0.966,1,Competitor,0.506,High,46.02,Low
3,41,17.33,Mumbai,0.285,0.201,None,53.72,0.578,1,Tesla,0.817,High,57.93,Low
4,50,13.9,Bangalore,0.228,0.108,None,98.21,0.535,0,Competitor,0.724,High,68.37,Medium
5,32,33.2,Delhi,0.36,0.229,Public,63.17,0.052,1,Neutral,0.704,Low,63.86,Medium
6,32,23.15,Hyderabad,0.581,0.164,None,7.27,0.342,0,Neutral,0.755,Medium,69.09,Low
7,50,10.0,Bangalore,0.27,0.289,Home,32.49,0.936,1,Competitor,1.0,Low,62.63,Low
8,42,49.72,Hyderabad,0.445,0.42,None,22.85,0.6,1,Neutral,0.977,Medium,54.42,Medium
9,30,25.0,Pune,0.191,0.517,Home,6.49,0.347,0,Tesla,0.547,Medium,64.86,High
10,40,60.0,Delhi,0.606,0.119,None,55.19,0.379,1,Neutral,0.566,Medium,58.35,Medium
11,30,47.51,Gurugram,0.147,0.25,Home,61.33,0.635,1,Neutral,0.857,Medium,56.17,High
12,30,122.7,Pune,0.491,0.09,Home,7.28,0.67,0,Tesla,1.0,Low,61.9,High
13,37,33.42,Hyderabad,0.169,0.683,Home,23.61,0.672,0,Neutral,0.412,Medium,66.62,Medium
14,18,21.54,Gurugram,0.326,0.334,None,1.47,0.095,1,Competitor,0.574,High,57.87,Medium
15,18,17.11,Delhi,0.438,0.116,Home,7.38,0.581,1,Competitor,0.789,Low,61.65,Low
16,29,53.21,Bangalore,0.318,0.104,Public,19.94,0.618,0,Neutral,0.682,Medium,58.53,Low
17,24,56.77,Mumbai,0.062,0.187,Public,92.25,0.273,1,Competitor,0.034,Medium,63.36,Medium
18,38,33.87,Chennai,0.741,0.239,Home,16.32,0.403,0,Competitor,0.909,Medium,52.95,Low
19,25,40.8,Chennai,0.354,0.314,None,3.96,0.177,1,Neutral,0.626,High,64.99,Medium
20,20,70.06,Hyderabad,0.673,0.247,None,7.56,0.175,0,Neutral,0.37,High,63.22,Medium
21,49,54.99,Mumbai,0.485,0.614,Public,29.69,0.104,1,Neutral,0.737,Medium,51.7,High
22,32,42.43,Mumbai,0.068,0.135,None,79.16,0.431,1,Tesla,0.594,High,56.44,Low
23,35,11.97,Bangalore,0.504,0.176,Home,60.93,0.649,0,Tesla,0.247,Medium,60.58,Medium
24,20,17.76,Delhi,0.14,0.186,None,55.47,0.937,1,Neutral,0.895,Medium,68.99,High
25,29,25.65,Pune,0.59,0.182,None,1.23,0.61,1,Neutral,0.682,High,56.14,Low
26,36,26.91,Hyderabad,0.105,0.188,None,26.55,0.516,1,Neutral,0.706,High,58.02,Low
27,23,19.2,Bangalore,0.4,0.569,Public,18.61,0.917,1,Tesla,0.667,Low,65.37,Low
